package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
@types/memoize-one,alexreardon/memoize-one,4638362.0,1,0,2908,266
jsxhint,STRML/JSXHint,90720.0,7,3,274,34
@directus/storage-driver-local,directus/directus,261989.0,1,7,25023,15434
vega-voronoi,vega/vega,9656852.0,3,1,10797,3857
tencentcloud-sdk-nodejs-af,tencentcloud/tencentcloud-sdk-nodejs,89396.0,1,10,345,147
asmcrypto.js,asmcrypto/asmcrypto.js,5446680.0,0,15,660,191
@suid/base,swordev/suid,58591.0,7,0,625,263
@types/koa-websocket,DefinitelyTyped/DefinitelyTyped,64897.0,3,0,46776,66341
migrate-mongoose,balmasi/migrate-mongoose,580201.0,7,1,257,89
recheck-macos-x64,makenowjust-labs/recheck,183727.0,0,0,201,1203
@endo/check-bundle,endojs/endo,91529.0,3,13,724,2114
@types/react-native-material-ripple,DefinitelyTyped/DefinitelyTyped,126582.0,2,0,46776,66341
ol-layerswitcher,walkermatt/ol-layerswitcher,358540.0,1,17,372,502
humane-js,wavded/humane-js,138754.0,0,4,2061,81
victory-create-container,FormidableLabs/victory,10325636.0,8,0,10744,2717
@blitzjs/cli,blitz-js/blitz,128169.0,31,5,13327,2858
terra-overlay,cerner/terra-core,87385.0,13,0,182,3978
vite-plugin-vue-component-preview,johnsoncodehk/vite-plugin-vue-component-preview,84890.0,4,4,118,20
@esbuild/win32-arm64,evanw/esbuild,86271676.0,0,0,36971,3662
@instructure/ui-test-sandbox,instructure/instructure-ui,163473.0,4,4,426,1463
@udecode/plate-ui-horizontal-rule,udecode/plate,47260.0,8,0,7316,2428
prunecluster,SINTEF-9012/PruneCluster,53096.0,0,10,551,214
gridlex,devlint/gridlex,114048.0,0,3,1373,100
walkdir,soldair/node-walkdir,55187421.0,0,3,131,47
streamr-client,streamr-dev/network,65481.0,40,40,569,2427
@types/clevertap-web-sdk,DefinitelyTyped/DefinitelyTyped,202217.0,0,0,46776,66341
@ant-design/maps,ant-design/ant-design-charts,2042649.0,6,5,1768,2434
@umijs/plugin-antd,umijs/plugins,676364.0,3,0,338,963
poplib,ditesh/node-poplib,216553.0,1,0,127,39
@welcome-ui/themes.welcome,WTTJ/welcome-ui,33394.0,1,0,589,2425
vue-ellipse-progress,setaman/vue-ellipse-progress,385324.0,1,20,336,226
dompurify,cure53/DOMPurify,178405417.0,0,30,12589,906
emojibase,milesj/emojibase,6669555.0,0,0,435,168
solarlunar,yize/solarlunar,28446.0,0,24,214,25
@dicebear/avataaars-neutral,dicebear/dicebear,95307.0,1,5,6413,307
jspanel4,Flyer53/jsPanel4,117591.0,0,17,309,201
bizcharts,alibaba/BizCharts,1443959.0,12,75,6129,1551
@web3-react/trezor-connector,NoahZinsmeister/web3-react,50250.0,4,0,5330,791
@types/ng-file-upload,DefinitelyTyped/DefinitelyTyped,431540.0,1,0,46776,66341
vue-lazy-youtube-video,3vilArthas/vue-lazy-youtube-video,55213.0,4,32,101,60
@dicebear/notionists-neutral,dicebear/dicebear,43340.0,1,5,6413,307
@syncfusion/ej2-react-pivotview,syncfusion/ej2-react-ui-components,77577.0,3,0,316,142
@teambit/lanes.ui.menus.use-lanes-menu,teambit/bit,29954.0,11,7,17437,8489
@comunica/actor-rdf-parse-html-rdfa,comunica/comunica,237145.0,3,0,405,1255
@middy/http-header-normalizer,middyjs/middy,2090103.0,0,1,3606,1188
@instructure/ui-spinner,instructure/instructure-ui,241785.0,12,6,426,1463
bootstrap-markdown,toopay/bootstrap-markdown,423576.0,0,0,2002,333
azure-arm-machinelearningcompute,Azure/azure-sdk-for-node,89527.0,2,0,1187,5209
unplugin-auto-import,unplugin/unplugin-auto-import,4347625.0,10,17,2854,476
react-native-banner-carousel,f111fei/react-native-banner-carousel,24130.0,0,1,103,24
@magic-sdk/react-native-expo,magiclabs/magic-js,46424.0,20,12,447,701
@types/react-joyride,gilbarbara/react-joyride,168049.0,1,0,6379,754
commerce-sdk,SalesforceCommerceCloud/commerce-sdk,256307.0,4,33,134,399
npm-check,dylang/npm-check,10773591.0,27,6,6521,609
express-status-monitor,RafalWilinski/express-status-monitor,650988.0,7,4,3565,218
@jupyterlab/shared-models,jupyterlab/jupyterlab,1575736.0,2,2,13667,15931
portal-vue,LinusBorg/portal-vue,23754232.0,1,21,3873,406
@pnp/sp-addinhelpers,pnp/pnpjs,59753.0,4,0,719,2901
next-connect,hoangvvo/next-connect,4978317.0,2,14,1596,245
@zowe/zos-files-for-zowe-sdk,zowe/zowe-cli,76851.0,3,4,101,1999
@igniteui/cli-core,IgniteUI/igniteui-cli,172049.0,5,1,117,1220
reset-css,shannonmoeller/reset-css,4263176.0,0,0,347,24
lefthook-windows-arm64,evilmartians/lefthook,586786.0,0,0,3779,613
cli,node-js-libs/cli,77221195.0,2,0,804,110
eslint-plugin-sonarjs,SonarSource/eslint-plugin-sonarjs,34028033.0,1,30,1120,450
eth-block-tracker,MetaMask/eth-block-tracker,17268441.0,5,29,131,210
drawille-blessed-contrib,madbence/node-drawille,610583.0,0,2,1001,20
@parcel/packager-js,parcel-bundler/parcel,18175192.0,8,0,43040,8333
@fluentui/react-date-time,microsoft/fluentui,59766.0,7,4,17496,30035
react-native-awesome-alerts,rishabhbhatia/react-native-awesome-alerts,185851.0,1,8,510,120
h3-js,uber/h3-js,8711411.0,0,15,785,187
@types/react-spinner,DefinitelyTyped/DefinitelyTyped,55908.0,1,0,46776,66341
truffle-provider,trufflesuite/truffle,175143.0,3,2,14011,5904
angular-svg-round-progressbar,crisbeto/angular-svg-round-progressbar,935381.0,3,0,740,235
@fluidframework/garbage-collector,microsoft/FluidFramework,433476.0,4,22,4607,20009
@fluentui/react-toolbar,microsoft/fluentui,941327.0,15,6,17496,30035
altair-graphql-core,altair-graphql/altair,230970.0,18,9,4976,2432
@types/storybook__addon-actions,storybooks/storybook,1059765.0,1,0,82324,24191
@awesome-cordova-plugins/aes-256,danielsogl/awesome-cordova-plugins,24812.0,3,0,2360,4704
suspend-react,pmndrs/suspend-react,8755806.0,1,0,1308,25
ts-action-operators,cartant/ts-action,257207.0,2,0,184,64
@types/angular-dialog-service,DefinitelyTyped/DefinitelyTyped,66364.0,2,0,46776,66341
@chainsafe/lodestar-db,ChainSafe/lodestar,34148.0,7,2,1032,6501
ember-cli-code-coverage,kategengler/ember-cli-code-coverage,2304592.0,13,41,194,408
@turf/rewind,Turfjs/turf,14894250.0,6,10,8698,2557
notistack5,iamhosseindhv/notistack,36982.0,6,23,3725,598
coc-pyright,fannheyward/coc-pyright,153235.0,1,20,1237,1060
make-synchronous,sindresorhus/make-synchronous,319075.0,2,6,300,11
talkr,DoneDeal0/Talkr,22986.0,0,19,245,21
@babel/preset-stage-3,babel/babel,711637.0,0,0,42821,15604
@fluentui-react-native/interactive-hooks,microsoft/fluentui-react-native,58198.0,9,12,1146,3477
es6-module-transpiler,square/es6-module-transpiler,47231.0,5,6,1213,200
zod-form-data,airjp73/remix-validated-form,785599.0,1,5,738,230
handlebars-loader,pcardune/handlebars-loader,6793904.0,5,8,549,220
kjua,lrsjng/kjua,145842.0,0,6,261,25
@types/mute-stream,DefinitelyTyped/DefinitelyTyped,990928.0,1,0,46776,66341
azure-arm-cdn,azure/azure-sdk-for-node,377787.0,2,0,1187,5209
postman2openapi,kevinswiber/postman2openapi,29177.0,0,0,275,75
babel-plugin-syntax-decorators,babel/babel,28351946.0,0,0,42821,15604
friendly-pow,FriendlyCaptcha/friendly-pow,1131098.0,0,17,184,19
replace-color,turakvlad/replace-color,45455.0,4,4,136,21
it-filter,achingbrain/it,2732208.0,1,2,264,122
vue-pull-to,stackjie/vue-pull-to,71139.0,1,54,749,133
vite-plugin-laravel,innocenzi/laravel-vite,118658.0,4,5,595,78
vue-owl-carousel,s950329/vue-owl-carousel,249635.0,5,18,166,61
@types/craco__craco,DefinitelyTyped/DefinitelyTyped,475784.0,8,0,46776,66341
@fluidframework/debugger,microsoft/FluidFramework,69190.0,6,14,4607,20009
@alita/plugins,alitajs/alita,555051.0,21,3,765,642
node-native-zip2,janjongboom/node-native-zip,83423.0,0,0,106,19
@aws-sdk/client-waf,aws/aws-sdk-js-v3,111132.0,40,7,2801,5575
trace,AndreasMadsen/trace,653473.0,1,6,195,56
@backstage/repo-tools,backstage/backstage,61153.0,37,6,25846,22385
@udecode/plate-list,udecode/plate,3286690.0,9,1,7316,2428
instadate,Teamweek/instadate,61935.0,2,3,800,17
@eth-optimism/common-ts,ethereum-optimism/optimism,103541.0,16,8,4925,9705
truffle-hdwallet-provider,trufflesuite/truffle,361364.0,4,11,14011,5904
@vuepress/plugin-blog,ulivz/vuepress-plugin-blog,87670.0,4,0,181,143
@next/mdx,vercel/next.js,4450366.0,3,0,119092,40391
nodemailer-sendgrid-transport,sendgrid/nodemailer-sendgrid-transport,802880.0,1,2,116,75
@hirez_io/auto-spies-core,hirezio/auto-spies,763947.0,3,10,173,84
@asyncapi/generator,asyncapi/generator,1441835.0,24,9,680,1096
@fluentui-react-native/experimental-checkbox,microsoft/fluentui-react-native,28413.0,7,6,1146,3477
jss-plugin-template,cssinjs/jss,9961076.0,3,0,7045,1606
@nx/nest,nrwl/nx,1624723.0,8,0,21564,21250
@types/getpass,DefinitelyTyped/DefinitelyTyped,977991.0,0,0,46776,66341
@contentful/f36-accordion,contentful/forma-36,2207468.0,8,0,321,2654
@shopify/polyfills,Shopify/quilt,4067148.0,9,1,1644,2699
caterpillar,bevry/caterpillar,159532.0,4,16,397,284
@types/npmcli__arborist,DefinitelyTyped/DefinitelyTyped,285087.0,4,0,46776,66341
@rnx-kit/config,microsoft/rnx-kit,349967.0,3,12,1388,2936
@vitejs/plugin-react-refresh,vitejs/vite,3070350.0,5,0,63859,12321
@vue-macros/define-render,vue-macros/vue-macros,296062.0,3,1,1507,603
style-unit,alibaba/rax,171067.0,2,0,7968,2404
@carbon/telemetry,carbon-design-system/carbon,6731220.0,0,12,7410,15295
@types/gulp,DefinitelyTyped/DefinitelyTyped,7981656.0,3,0,46776,66341
@types/video.js,DefinitelyTyped/DefinitelyTyped,11619685.0,0,0,46776,66341
@easyops-cn/docusaurus-search-local,easyops-cn/docusaurus-search-local,1167800.0,19,18,593,398
react-infinite-scroll-component,ankeetmaini/react-infinite-scroll-component,29596175.0,2,32,2725,399
jp.keijiro.smrvfx,keijiro/Smrvfx,113898.0,2,0,1047,38
l7hammerjs,hammerjs/hammer.js,2096608.0,0,22,23875,1295
mobx-state-tree,mobxjs/mobx-state-tree,4347862.0,1,32,6850,1911
@electron-forge/template-webpack,electron/forge,2265626.0,3,3,6152,3518
mochify,mantoni/mochify.js,79964.0,14,4,344,285
tsconfig.json,benawad/tsconfig.json,86587.0,1,1,374,58
@ledgerhq/live-promise,LedgerHQ/ledger-live,23488.0,1,3,379,6378
react-konva,konvajs/react-konva,8117460.0,7,15,5467,786
@ckeditor/ckeditor5-indent,ckeditor/ckeditor5,7649886.0,1,0,8048,15968
object-observer,gullerya/object-observer,28294.0,0,4,175,144
@amplitude/react-amplitude,amplitude/react-amplitude,320031.0,3,22,117,62
redux-immutable-state-invariant,leoasis/redux-immutable-state-invariant,3759607.0,2,8,934,44
@mdx-js/react,mdx-js/mdx,214784058.0,3,0,16613,2026
piral-systemjs-utils,smapiot/piral,35219.0,1,2,1600,675
@styled-icons/remix-fill,styled-icons/styled-icons,1069563.0,4,6,2080,2131
@node-rs/argon2-linux-x64-musl,napi-rs/node-rs,31052.0,0,0,945,802
@types/react-json-to-csv,DefinitelyTyped/DefinitelyTyped,63473.0,1,0,46776,66341
react-chrono,prabhuignoto/react-chrono,200022.0,7,85,3787,449
@theia/java-debug,eclipse-theia/theia,33053.0,3,1,18751,12613
x-photoswipe,dimsemenov/Photoswipe,43824.0,0,13,23647,2038
@backstage/plugin-search-common,backstage/backstage,2533691.0,2,1,25846,22385
pact,pact-foundation/pact-js,22674.0,7,31,1533,1149
@resugar/codemod-objects-destructuring,resugar/resugar,144500.0,0,1,691,1109
@snowplow/browser-plugin-geolocation,snowplow/snowplow-javascript-tracker,183732.0,4,19,532,1292
conductor-node,conductor-is/conductor-node,30619.0,1,2,118,0
@types/subtitle,DefinitelyTyped/DefinitelyTyped,60512.0,0,0,46776,66341
@types/invity-api,DefinitelyTyped/DefinitelyTyped,30658.0,0,0,46776,66341
@types/one-time,DefinitelyTyped/DefinitelyTyped,144466.0,0,0,46776,66341
merge,yeikos/js.merge,117952218.0,0,9,176,58
sway,apigee-127/sway,3280147.0,12,29,189,261
lefthook-windows-x64,evilmartians/lefthook,593455.0,0,0,3779,613
ripple-keypairs,XRPLF/xrpl.js,2236824.0,3,0,1163,2624
@types/fuzzaldrin-plus,DefinitelyTyped/DefinitelyTyped,1358939.0,0,0,46776,66341
@kamona/tailwindcss-perspective,Kamona-WD/tailwindcss-perspective,35756.0,1,12,111,6
pending-xhr-puppeteer,jtassin/pending-xhr-puppeteer,337496.0,0,24,277,736
@malagu/oidc-provider,cellbang/malagu,39162.0,4,1,674,197
whatwg-fetch,github/fetch,616689502.0,0,17,25801,1017
ajax-bootstrap-select,truckingsim/Ajax-Bootstrap-Select,496443.0,0,17,278,221
@graphcommerce/magento-cart-items,graphcommerce-org/graphcommerce,71138.0,19,0,261,2206
jest-prosemirror,remirror/remirror,145607.0,16,1,2562,2085
node-excel-export,andreyan-andreev/node-excel-export,552417.0,1,0,128,62
@types/uniq,DefinitelyTyped/DefinitelyTyped,475294.0,0,0,46776,66341
@shopify/react-testing,Shopify/quilt,4067003.0,6,0,1644,2699
@azure/oad,Azure/openapi-diff,118762.0,22,13,241,296
lodash._basecreatewrapper,lodash/lodash-cli,10429282.0,4,0,152,92
@babel/plugin-syntax-logical-assignment-operators,babel/babel,1109315231.0,2,1,42821,15604
@secretlint/secretlint-rule-no-k8s-kind-secret,secretlint/secretlint,154525.0,2,7,689,777
@types/react-scrollbar,DefinitelyTyped/DefinitelyTyped,412995.0,1,0,46776,66341
@types/aes-js,DefinitelyTyped/DefinitelyTyped,1351302.0,0,0,46776,66341
css-minimizer-webpack-plugin,webpack-contrib/css-minimizer-webpack-plugin,249312001.0,7,40,305,257
lodash._renative,lodash/lodash-cli,4531467.0,0,0,152,92
qrcodejs2-fix,davidshimjs/qrcodejs,22740.0,0,0,13096,300
vscode-languageserver-types,Microsoft/vscode-languageserver-node,133568367.0,0,0,1351,1418
@aws-cdk/aws-location,aws/aws-cdk,1346186.0,2,5,11030,28455
react-native-reanimated-swc-plugin,software-mansion/react-native-reanimated,26073.0,0,11,8264,5133
@loaders.gl/core,visgl/loaders.gl,9199033.0,4,0,644,2889
vue-toast,AStaroverov/vue-toast,33176.0,0,21,149,21
computed-style-to-inline-style,lukehorvat/computed-style-to-inline-style,217146.0,0,6,102,13
@react-hook/media-query,jaredLunde/react-hook,928738.0,1,19,1373,302
preact-render-spy,mzgoddard/preact-render-spy,231077.0,4,13,177,109
serverless-pseudo-parameters,svdgraaf/serverless-pseudo-parameters,4325535.0,2,1,211,96
babel-preset-react,babel/babel,27649169.0,5,2,42821,15604
@wdio/allure-reporter,webdriverio/webdriverio,9659253.0,6,0,8715,11895
@nivo/bar,plouc/nivo,9973928.0,14,0,12496,2372
babel-preset-jest,jestjs/jest,1123443246.0,3,0,43399,14852
@lerna-lite/init,lerna-lite/lerna-lite,436200.0,4,0,429,800
vform,cretueusebiu/vform,167113.0,2,35,609,142
nuxt-gtag,johannschopplich/nuxt-gtag,105672.0,4,9,240,40
expo-dev-menu-interface,expo/expo,4919375.0,1,0,28137,26977
@types/flake-idgen,DefinitelyTyped/DefinitelyTyped,103090.0,1,0,46776,66341
@form-create/utils,xaboy/form-create,100800.0,0,0,5409,682
@temporalio/activity,temporalio/sdk-typescript,3002507.0,2,0,471,1366
viewerjs,fengyuanchen/viewerjs,2475345.0,0,39,7518,599
@azure/eventhubs-checkpointstore-blob,Azure/azure-sdk-for-js,502963.0,7,34,1903,28860
@spectrum-css/colorhandle,adobe/spectrum-css,69253.0,3,1,1145,2571
babel-plugin-transform-async-to-generator,babel/babel,73077402.0,2,1,42821,15604
pg-boss,timgit/pg-boss,1024678.0,5,5,1566,400
angular-base64,ninjatronic/angular-base64,241082.0,1,11,187,30
@libp2p/multistream-select,libp2p/js-libp2p,409658.0,9,8,2200,2406
lodash.every,lodash/lodash,22671660.0,0,0,58625,5615
@teambit/ui-foundation.ui.rendering.html,teambit/bit,55796.0,3,7,17437,8489
gulp-rimraf,robrich/gulp-rimraf,1047024.0,2,4,149,26
@react-md/alert,mlaursen/react-md,62464.0,10,2,2349,1460
@luminati-io/cheerio,cheeriojs/cheerio,149316.0,8,28,27577,3675
@aws-sdk/client-route53-recovery-cluster,aws/aws-sdk-js-v3,91111.0,40,7,2801,5575
@cubejs-backend/questdb-driver,cube-js/cube,45749.0,7,4,16984,7899
@react-spring/parallax,pmndrs/react-spring,346992.0,4,0,27207,1762
@react-aria/menu,adobe/react-spectrum,14627165.0,15,0,11345,5392
@cordobo/qrcode,soldair/node-qrcode,1942365.0,4,16,7103,355
@mr-hope/vuepress-plugin-seo,vuepress-theme-hope/vuepress-theme-hope,32076.0,4,0,1797,3655
@types/chai-like,DefinitelyTyped/DefinitelyTyped,488326.0,1,0,46776,66341
@instructure/ui-eslint-config,instructure/instructure-ui,134436.0,13,0,426,1463
@types/http-server,DefinitelyTyped/DefinitelyTyped,2636031.0,1,0,46776,66341
@po-ui/ng-templates,po-ui/po-angular,98224.0,14,0,877,1818
@uppy/thumbnail-generator,transloadit/uppy,6491250.0,3,2,27953,4976
nullstack,nullstack/nullstack,26482.0,23,0,763,385
@inquirer/password,SBoudrias/Inquirer.js,637665.0,3,1,19208,1344
@types/reconnectingwebsocket,DefinitelyTyped/DefinitelyTyped,75940.0,0,0,46776,66341
@indot/rainbowvis,anomal/RainbowVis-JS,24401.0,0,5,350,25
discord-logs,Androz2091/discord-logs,244046.0,2,7,243,181
cordova-plugin-googleplus,EddyVerbruggen/cordova-plugin-googleplus,112568.0,1,0,567,765
@webex/internal-plugin-calendar,webex/webex-js-sdk,344895.0,6,5,164,3435
react-art,facebook/react,2077148.0,5,0,220059,27386
apollo-datasource-mongodb,GraphQLGuide/apollo-datasource-mongodb,266634.0,3,11,281,123
@leafygreen-ui/radio-box-group,mongodb/leafygreen-ui,886762.0,6,1,202,2248
@rimbu/multiset,rimbu-org/rimbu,30119.0,7,0,123,201
@rmwc/formfield,rmwc/rmwc,378872.0,5,0,1640,1358
squirrelly,squirrellyjs/squirrelly,1033573.0,0,41,536,261
@react-aria/datepicker,adobe/react-spectrum,5957955.0,20,0,11345,5392
redux-async-queue,zackargyle/redux-async-queue,68657.0,0,32,113,6
@itwin/physical-material-backend,iTwin/itwinjs-core,106776.0,3,15,561,5498
next-sitemap,iamvishnusankar/next-sitemap,12373136.0,5,1,3008,726
phosphor-vue,phosphor-icons/phosphor-vue,109693.0,1,20,164,40
schema-typed,rsuite/schema-typed,2209717.0,0,19,192,74
fastify-express,fastify/fastify-express,500129.0,2,0,224,126
remark-lint-first-heading-level,remarkjs/remark-lint,503346.0,5,0,900,309
@arr/includes,lukeed/arr,24182.0,0,0,255,10
@beemo/driver-jest,beemojs/beemo,175009.0,3,1,143,160
@unhead/shared,unjs/unhead,5567484.0,1,1,468,317
v-calendar,nathanreyes/v-calendar,9777920.0,8,33,4202,1461
@aws-sdk/util-utf8-node,aws/aws-sdk-js-v3,252342015.0,2,7,2801,5575
react-lazy,merri/react-lazy,52984.0,4,32,119,68
svg-transform-loader,JetBrains/svg-mixer,740483.0,8,6,174,162
remark-gfm,remarkjs/remark-gfm,67575477.0,6,12,589,64
@tsed/agenda,tsedio/tsed,51960.0,2,8,2705,2503
@cypress/mount-utils,cypress-io/cypress,5370009.0,0,6,45922,21244
@types/jsonlint,DefinitelyTyped/DefinitelyTyped,208965.0,0,0,46776,66341
@react-mock/localstorage,skidding/react-mock,683055.0,2,0,370,56
vue-notification,euvl/vue-notification,3082691.0,1,31,2389,294
react-admin-firebase,benwinding/react-admin-firebase,86137.0,8,19,452,283
hyperformula,handsontable/hyperformula,2248658.0,2,57,1715,1272
@backstage/plugin-octopus-deploy,backstage/backstage,30542.0,10,5,25846,22385
jupyterlab-plotly,plotly/plotly.py,391835.0,6,17,14995,4425
@babel/node,babel/babel,45776696.0,6,5,42821,15604
@aws-sdk/client-shield,aws/aws-sdk-js-v3,631778.0,40,7,2801,5575
react-daisyui,daisyui/react-daisyui,284029.0,4,40,805,434
typegraphql-prisma,MichalLytek/typegraphql-prisma,706372.0,14,28,847,267
jfrog-cli-v2-jf,jfrog/jfrog-cli,78713.0,0,0,509,2461
nav-frontend-js-utils,navikt/nav-frontend-moduler,82933.0,4,3,146,2704
@air/react-drag-to-select,AirLabsTeam/react-drag-to-select,110510.0,3,14,127,45
0http,BackendStack21/0http,408621.0,3,8,145,36
ember-shepherd,rwwagner90/ember-shepherd,61211.0,4,54,158,1630
@instructure/ui-file-drop,instructure/instructure-ui,163562.0,14,4,426,1463
@envelop/persisted-operations,n1ru4l/envelop,114303.0,3,0,752,2098
@supabase-cache-helpers/postgrest-filter,psteinroe/supabase-cache-helpers,43288.0,2,13,350,411
pug-lint,pugjs/pug-lint,1215784.0,13,16,227,187
@protobuf-ts/grpcweb-transport,timostamm/protobuf-ts,894854.0,2,11,914,587
@spotify/tsconfig,spotify/web-scripts,33177.0,1,1,382,1149
pxt,Microsoft/pxt,29347.0,0,0,2018,9690
jest-react-hooks-shallow,mikeborozdin/jest-react-hooks-shallow,1647403.0,1,7,113,128
vue-virtual-collection,starkwang/vue-virtual-collection,39529.0,0,27,627,42
@types/babel__parser,babel/babel,638316.0,1,0,42821,15604
@toruslabs/openlogin-ed25519,torusresearch/OpenLoginSdk,689898.0,2,0,130,302
@types/archiver,DefinitelyTyped/DefinitelyTyped,35160262.0,1,0,46776,66341
@parcel/transformer-react-refresh-wrap,parcel-bundler/parcel,11183052.0,3,0,43040,8333
@types/browser-bunyan,DefinitelyTyped/DefinitelyTyped,59204.0,2,0,46776,66341
@emmetio/css-abbreviation,emmetio/emmet,8027639.0,1,8,4426,729
leaflet.browser.print,Igor-Vladyka/leaflet.browser.print,55334.0,0,3,150,132
color,Qix-/color,829082838.0,2,2,4710,254
iscroll,cubiq/iscroll,1680805.0,0,2,12891,1258
cldr-localenames-modern,unicode-cldr/cldr-json,269772.0,1,0,483,54
@types/mersenne-twister,DefinitelyTyped/DefinitelyTyped,229240.0,0,0,46776,66341
@types/lodash.findkey,DefinitelyTyped/DefinitelyTyped,123214.0,1,0,46776,66341
passport-custom,mbell8903/passport-custom,5716437.0,1,3,102,21
@types/stubby,DefinitelyTyped/DefinitelyTyped,36668.0,1,0,46776,66341
@bentley/ui-abstract,imodeljs/imodeljs,31181.0,4,32,561,5500
@types/react-click-outside-hook,DefinitelyTyped/DefinitelyTyped,56542.0,0,0,46776,66341
@livekit/components-react,livekit/components-js,60565.0,8,16,105,803
lucide-preact,lucide-icons/lucide,77339.0,1,12,8114,1915
@modern-js-app/eslint-config,web-infra-dev/modern.js,439873.0,19,2,4087,5407
@types/enzyme-adapter-react-16,DefinitelyTyped/DefinitelyTyped,20934754.0,1,0,46776,66341
import-sort-style-module,renke/import-sort,2623900.0,0,15,465,159
recast,benjamn/recast,368938153.0,5,17,4779,1395
@slate-editor/toggle-readonly,nossas/slate-editor,49606.0,3,4,261,100
@spryker-lerna/profiler,lerna/lerna,47941.0,3,0,35267,3871
@types/analytics-node,DefinitelyTyped/DefinitelyTyped,16615305.0,0,0,46776,66341
keymage,piranha/keymage,36887.0,0,2,332,19
@rmwc/ripple,rmwc/rmwc,583811.0,6,0,1640,1358
@openui5/sap.ui.commons,SAP/openui5,202728.0,3,0,2811,3988
@parcel/packager-css,parcel-bundler/parcel,7999685.0,6,2,43040,8333
strapi-generate-policy,strapi/strapi,761927.0,2,0,59316,18696
@pinata/sdk,PinataCloud/Pinata-SDK,761555.0,4,24,259,167
tweetnacl,dchest/tweetnacl-js,1080325219.0,0,7,1709,247
@antv/x6,antvis/x6,2813252.0,3,0,5268,3605
@angular-material-components/file-input,h2qutc/angular-material-components,221099.0,7,0,315,384
jDataView,jDataView/jDataView,55053.0,1,0,543,91
@antv/g-plugin-canvas-picker,antvis/g,58966.0,7,0,997,1629
mediainfo.js,buzz/mediainfo.js,607283.0,1,53,619,151
react-tagcloud,madox2/react-tagcloud,373954.0,5,22,185,39
@types/fuzzaldrin,DefinitelyTyped/DefinitelyTyped,269311.0,0,0,46776,66341
eslint-config-react-app,facebook/create-react-app,235573314.0,15,0,101699,12489
@vitest/runner,vitest-dev/vitest,33521481.0,3,0,11516,4620
express-oas-generator,mpashkovskiy/express-oas-generator,386322.0,13,16,207,134
woocommerce-api,woocommerce/wc-api-node,308951.0,5,6,144,102
styled-components-spacing,jameslnewell/styled-components-spacing,132587.0,3,25,213,47
@osmonauts/proto-parser,osmosis-labs/telescope,91017.0,7,27,130,587
async-cache-dedupe,mcollina/async-cache-dedupe,521879.0,2,29,562,139
@govuk-react/grid-row,govuk-react/govuk-react,151801.0,4,0,391,1586
@nlpjs/lang-ru,axa-group/nlp.js,445277.0,1,0,6032,1368
graphql-server-express,apollographql/apollo-server,348796.0,1,0,13635,7386
currency-codes,freeall/currency-codes,11272518.0,2,3,148,43
@nextapps-be/livewire-sortablejs,nextapps-be/livewire-sortablejs,83690.0,1,1,253,48
@highlightjs/cdn-assets,highlightjs/highlight.js,2356654.0,0,34,22903,3980
gojs-react,NorthwoodsSoftware/gojs-react,273653.0,3,10,235,15
babel-plugin-transform-es2015-modules-amd,babel/babel,83754546.0,2,1,42821,15604
@microsoft/applicationinsights-web-snippet,microsoft/ApplicationInsights-JS,8843100.0,0,21,624,2276
@superset-ui/legacy-plugin-chart-horizon,apache-superset/superset-ui,40297.0,6,0,321,1472
passport.socketio,jfromaniello/passport.socketio,283214.0,1,12,657,149
@ui5/webcomponents,SAP/ui5-webcomponents,2177506.0,6,2,1390,8341
node-opcua-data-value,node-opcua/node-opcua,1100997.0,9,5,1404,1350
@fluidframework/data-object-base,microsoft/FluidFramework,68800.0,12,14,4607,20009
midway-schedule,midwayjs/midway,88891.0,1,3,7094,3583
@types/bunyan-blackhole,DefinitelyTyped/DefinitelyTyped,284921.0,1,0,46776,66341
@types/meteor-collection-hooks,DefinitelyTyped/DefinitelyTyped,37108.0,1,0,46776,66341
@parcel/node-libs-browser,parcel-bundler/parcel,601666.0,22,0,43040,8333
babel-plugin-transform-node-env-inline,babel/minify,837615.0,0,0,4377,1046
d3-milestones,walterra/d3-milestones,26215.0,5,41,133,76
nuxt-buefy,buefy/nuxt-buefy,473238.0,1,9,224,152
@typespec/rest,microsoft/typespec,108983.0,2,14,2133,2984
@pixi/filter-advanced-bloom,pixijs/filters,480278.0,2,2,870,444
fake-progress,piercus/fake-progress,36152.0,0,3,223,6
react-virtuoso,petyosi/react-virtuoso,19792552.0,2,56,4603,880
@tiptap/extension-task-list,ueberdosis/tiptap,3468443.0,1,1,23241,3531
ecstatic,jfhbrook/node-ecstatic,17977544.0,6,8,974,280
socket-controllers,pleerock/socket-controllers,43521.0,5,0,334,897
child_process,npm/security-holder,16143814.0,0,0,148,13
@expo-google-fonts/raleway,expo/google-fonts,26719.0,0,0,722,107
gl-transition,gre/gl-transition-libs,115425.0,1,4,761,75
node-opcua-aggregates,node-opcua/node-opcua,472311.0,13,3,1404,1350
terra-action-header,cerner/terra-core,90775.0,11,0,182,3978
ng-grid,angular-ui/ng-grid,69948.0,0,6,5390,7303
@verdaccio/logger-7,verdaccio/verdaccio,1606462.0,2,1,15762,4043
@xchainjs/xchain-binance,xchainjs/xchainjs-lib,21923.0,4,5,102,1074
bricks.js,callmecavs/bricks.js,687773.0,1,10,4654,66
