repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
MDEwOlJlcG9zaXRvcnkzMjg2Mzc2OTU=,rabetofficial/rabet-extension,702,389,0.5541310541310541
,njazich/MEV-BOT,141,78,0.5531914893617021
,torres2507/lancher,243,134,0.551440329218107
,zelenkaenjoyer/1,107,59,0.5514018691588785
,Matiasp26/Free-Exitlag,274,151,0.551094890510949
R_kgDOLiH9fQ,openex-network/oex,227,124,0.5462555066079295
,MagicedenMinter/SolanaMint,152,83,0.5460526315789473
MDEwOlJlcG9zaXRvcnk0MDY0MjkxMzc=,AmirHosseinBabaeayan/Python2021,174,95,0.5459770114942529
,AtomicCheatzz/Fortnite-External,110,60,0.5454545454545454
MDEwOlJlcG9zaXRvcnk2MzUzMTc3,scrapy/loginform,134,73,0.5447761194029851
,Loggner/Apex-Legends-External,140,76,0.5428571428571428
,raghavcannotfly/HealVisuals,204,110,0.5392156862745098
R_kgDOKNcKhQ,DevTech-Services/DevHaxx,106,57,0.5377358490566038
,kushal00011/megabox,112,60,0.5357142857142857
R_kgDOHdU3Bw,aqvaspirt/seoskillmap,745,399,0.5355704697986577
MDEwOlJlcG9zaXRvcnkxNDQ5NTY3ODY=,opensourcewebsite-org/opensourcewebsite-org,977,523,0.5353121801432958
R_kgDOLb4otg,Synthmania/StakeBot-Predictor,98,52,0.5306122448979592
MDEwOlJlcG9zaXRvcnk1OTk1MTU2Ng==,smarques84/MockLocationDetector,1490,788,0.5288590604026846
,sherryqaisrani/silver-meme,123,65,0.5284552845528455
R_kgDOLb4hQw,symfony-orchestra/view-bundle,262,138,0.5267175572519084
R_kgDOHCn55Q,"help-iq/telethon,help-iq2/telethon",2836,1491,0.5257404795486601
,Telethon-helper/Help,2788,1465,0.5254662840746055
MDEwOlJlcG9zaXRvcnkzNTY4Nzg5ODY=,TrashUwU/PokeAssistant,2457,1290,0.525030525030525
,mydexchain/mydexchain,318,166,0.5220125786163522
,ReverserValorant/valorant-moon-cheat,225,116,0.5155555555555555
R_kgDOLuTqWw,nodelrd/ChatGPT-Next-Web-PLUS,217,111,0.511520737327189
MDEwOlJlcG9zaXRvcnkzMDA0Mzg1NTU=,sxzz/sxzz.github.io-old,133,68,0.5112781954887218
,Telethon-helper/Helper,744,380,0.510752688172043
R_kgDOHdcVPA,dekrypted/discord-image-logger,2402,1224,0.5095753538717736
,lwdrm01/klsp,112,57,0.5089285714285714
