github,total_stars,fake_stars,fake_percentage
mathjax/MathJax,10001,3,0.029997000299970003
hizzgdev/jsmind,3335,1,0.02998500749625187
microsoft/react-native-macos,3347,1,0.029877502240812665
jsx-eslint/eslint-plugin-jsx-a11y,3352,1,0.02983293556085919
Voog/wysihtml,3360,1,0.029761904761904764
electron-userland/electron-builder,13450,4,0.029739776951672865
osano/cookieconsent,3368,1,0.02969121140142518
jgraph/mxgraph,6760,2,0.02958579881656805
ericelliott/cuid,3393,1,0.02947244326554671
antfu/eslint-config,3402,1,0.029394473838918283
apache/thrift,10221,3,0.0293513354857646
mathiasbynens/he,3408,1,0.029342723004694836
nhn/tui.image-editor,6827,2,0.029295444558371176
yairEO/tagify,3414,1,0.029291154071470416
vvo/iron-session,3425,1,0.029197080291970805
JamieMason/ImageOptim-CLI,3432,1,0.029137529137529136
tleunen/babel-plugin-module-alias,3439,1,0.02907822041291073
tleunen/babel-plugin-module-resolver,3440,1,0.029069767441860465
http-party/node-http-proxy,13813,4,0.028958227756461303
tamagui/tamagui,10425,3,0.028776978417266185
alasql/alasql,6952,2,0.028768699654775604
tj/consolidate.js,3478,1,0.02875215641173088
knockout/knockout,10434,3,0.02875215641173088
jupyterlab/jupyterlab,13914,4,0.028748023573379328
marionebl/svg-term-cli,3480,1,0.028735632183908046
cube-js/cube.js,17441,5,0.02866808095866063
cube-js/cube,17483,5,0.028599210661785734
sindresorhus/file-type,3506,1,0.028522532800912718
apexcharts/apexcharts.js,14024,4,0.028522532800912718
statsd/statsd,17538,5,0.028509522180408257
furf/jquery-ui-touch-punch,3508,1,0.028506271379703536
markdown-it/markdown-it,17540,5,0.028506271379703536
jonsuh/hamburgers,7019,2,0.028494087476848555
netlify/netlify-cms,17649,5,0.028330217009462293
maticzav/graphql-shield,3533,1,0.02830455703368242
formatjs/react-intl,14145,4,0.028278543655001768
formatjs/formatjs,14145,4,0.028278543655001768
CreateJS/TweenJS,3544,1,0.02821670428893905
csfrequency/react-firebase-hooks,3549,1,0.02817695125387433
vercel/release,3550,1,0.028169014084507043
didi/mpx,3552,1,0.028153153153153154
alibaba/ice,17791,5,0.02810409757742679
bvaughn/react-resizable-panels,3560,1,0.02808988764044944
hardmath123/nearley,3566,1,0.028042624789680313
devbridge/jQuery-Autocomplete,3567,1,0.02803476310625175
francoischalifour/medium-zoom,3575,1,0.027972027972027972
bloomberg/bqplot,3590,1,0.02785515320334262
framework7io/framework7,17968,5,0.027827248441674085
glidejs/glide,7203,2,0.027766208524226017
preactjs/signals,3602,1,0.027762354247640203
highlight/highlight,7205,2,0.02775850104094379
midwayjs/midway,7243,2,0.027612867596299873
js-cookie/js-cookie,21731,6,0.027610326262022
cozmo/jsQR,3623,1,0.02760143527463428
fullcalendar/fullcalendar,18122,5,0.027590773645293016
tulios/kafkajs,3653,1,0.027374760470845878
jschr/textillate,3653,1,0.027374760470845878
x-extends/vxe-table,7330,2,0.027285129604365622
flesler/jquery.scrollTo,3672,1,0.027233115468409588
saltyshiomix/nextron,3679,1,0.02718129926610492
overtrue/share.js,3687,1,0.027122321670735017
rikschennink/fitty,3688,1,0.027114967462039046
